iter,f,grad_norm,step_norm,step_size,cumulative_time,per_iter_time,accepted,armijo_iters,gtd,hvp_calls_iter,hvp_calls_cum,subspace_dim,eta,lambda_min_phpt,lambda_shift,seed_sketch,used_grad_fallback
47,0.15615716967021945,0.012733472677465548,0.3423906106117476,1.0,131.44829326169565,2.8018625788390636,1,0,-0.0012057234213502187,200,9400,200,0.11438848943115765,0.0011635087334589643,0.0,3037501371,0
48,0.15519694923557126,0.012464217306457833,0.3251245074770726,1.0,134.22208046587184,2.773703319951892,1,0,-0.0010357659522225984,200,9600,200,0.11284268996025196,0.0011384125757334844,0.0,333369933,0
49,0.15428019259795794,0.012127936818425833,0.31274995688059004,1.0,137.02702595479786,2.804874597117305,1,0,-0.0009804556805281495,200,9800,200,0.11164325911786091,0.0011871012872855192,0.0,4188136710,0
50,0.15334339332880284,0.011803873846501816,0.32447689316491934,1.0,139.8068119827658,2.779710945673287,1,0,-0.0010053383102268123,200,10000,200,0.11012691232585173,0.0011717724125317249,0.0,805131314,0
51,0.1522103218299682,0.01175724872427754,0.36910629666949607,1.0,142.60131356865168,2.794429088011384,1,0,-0.0012380728668074628,200,10200,200,0.10864563427262881,0.0010695685360848522,0.0,3666578351,0
52,0.15119220453567336,0.01144509968768167,0.335841016810163,1.0,145.38688225485384,2.7854920672252774,1,0,-0.0011061230671900383,200,10400,200,0.10843084766005263,0.001086211040291978,0.0,3678203036,0
53,0.15043388055688864,0.011241676290152837,0.29261832727607684,1.0,148.17122231563553,2.784265257883817,1,0,-0.0008261841583969338,200,10600,200,0.10698177268900376,0.001026628151953905,0.0,3054748197,0
54,0.14955145259693986,0.01111515520264272,0.3213203561449095,1.0,150.9826006386429,2.811304009053856,1,0,-0.000947625443225395,200,10800,200,0.10602677157281003,0.0011379442747420936,0.0,245892494,0
55,0.14875095959531154,0.010816949776415874,0.3038931166400618,1.0,153.7706017778255,2.78793108696118,1,0,-0.0008599626051426307,200,11000,200,0.10542843640423925,0.0010168786323290098,0.0,3677186077,0
56,0.1478726136901593,0.01064153656514045,0.3193044999938368,1.0,156.59036500379443,2.8196936622262,1,0,-0.0009525890739702962,200,11200,200,0.10400456613253033,0.0011434202080895977,0.0,4279616294,0
